Hz=600,WPM=6
OKICQ 24680 CKTOG AXBTR
AEIOU 13579 CJRNO YOUMK
MVHVD APLKM NDHBH JTIOE
JEHDY MCNCB PAOKU MDHNH
ZMNZB NDBGY KDIOE CVQAR
03759 CWXCK DKAKX WQYFZ
CEMID JXEFY EFMEY 49285
MNLFG YOUMK VOIUM 12709
UEYTA QYEUR QWZXN TTLOR
OMIWG HSPCQ XGLDQ 80701
JNABD JBCYD TVCPT CPTKO
ZLJBI 84707 KDKNG FHFUX
ALCRJ DLZIK PHVTX HIMAD
VTNEE HELKF 47382 MRFXE
LDOSJ 12310 BAYQT QNBAV
20184 VNFBH DIEUY JCUWH
NTVMG WOHZR IPAQZ RNAQJ
CPNZI JBOAH GYEVZ ARJZU
40367 OBRDK PVFKQ RBEFP
25894 JXHGQ 98015 MBUDF
83746 LKDOP WEQFQ 17863
PGMAE 10273 DXNZE 98234
DXAQN 11902 06143 CPTOK
KDIEY MDIDH 09165 QZASU
